Value,Package,Quantity
100k,C_0402_1005Metric,3
100nF,C_0402_1005Metric,27
10k,R_0402_1005Metric,1
10uF,C_0603_1608Metric,15
10uF,C_1206_3216Metric,20
10uF 0603,C_0603_1608Metric,11
1277AS-H-1R0M=P2,L_1210_3225Metric,1
150060GS84000,LED_0603_1608Metric,3
150k,R_0402_1005Metric,1
1uH,L_1210_3225Metric,2
365k,R_0402_1005Metric,2
4.7k,R_0402_1005Metric,1
4.7uF,C_0603_1608Metric,4
470,R_0402_1005Metric,3
470k,R_0402_1005Metric,1
47k,R_0402_1005Metric,2
AS5047P-ATSM,TSSOP14_OSM,1
C2901617,ECS-1633-480-BN-TR,2
DF52-3S-0.8H(21),DF52-3S-0.8H(21),1
ESD9B3.3ST5G,D_SOD-923,1
ESP32-WROOM-32E-H4,ESP32-WROOM-32,1
INA241B4IDDFR,SOT-23-8,5
PA2512FKF7T0R003E,R_2512_6332Metric,5
RBB06DHHN,RBB06DHHN,1
SPX3819M5-L-5-0,SOT-23-5,3
STM32G431CBT6,LQFP48-STM32,2
TPS63070,VQFN-TPS63070,3
